poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,party,answer,candidate_id,candidate_name,pct
73911,1240,Øptimus,"","",Øptimus,245,Optimus,B/C,Live Phone,Virginia,10/31/20,11/2/20,,"",,138678,505,lv,,lv,,12/30/20 12:29,"",https://github.com/optimus-forecasting-and-polling/0ptimus-SC-VA7-November-2020/blob/main/virginia_cd_7_poll_toplines_tl_31_october_2020.pdf,538,false,,8243,2020,U.S. House,7,District 7,11/3/20,general,false,false,DEM,Spanberger,15574,Abigail A. Spanberger,51.6
73911,1240,Øptimus,"","",Øptimus,245,Optimus,B/C,Live Phone,Virginia,10/31/20,11/2/20,,"",,138678,505,lv,,lv,,12/30/20 12:29,"",https://github.com/optimus-forecasting-and-polling/0ptimus-SC-VA7-November-2020/blob/main/virginia_cd_7_poll_toplines_tl_31_october_2020.pdf,538,false,,8243,2020,U.S. House,7,District 7,11/3/20,general,false,false,REP,Freitas,15575,Nicholas J. Freitas,41.4
72755,1613,University of Nevada Las Vegas Lee Business School,"","","University of Nevada, Las Vegas Lee Business School",609,"University of Nevada, Las Vegas Lee Business School",B/C,Online,Nebraska,10/30/20,11/2/20,,"",,136534,191,lv,,lv,,11/2/20 21:26,"",https://projects.fivethirtyeight.com/polls/20201102_NE_UNLV.pdf,538,false,,8069,2020,U.S. House,2,District 2,11/3/20,general,false,false,DEM,Eastman,13509,Kara Eastman,45.7
72755,1613,University of Nevada Las Vegas Lee Business School,"","","University of Nevada, Las Vegas Lee Business School",609,"University of Nevada, Las Vegas Lee Business School",B/C,Online,Nebraska,10/30/20,11/2/20,,"",,136534,191,lv,,lv,,11/2/20 21:26,"",https://projects.fivethirtyeight.com/polls/20201102_NE_UNLV.pdf,538,false,,8069,2020,U.S. House,2,District 2,11/3/20,general,false,false,REP,Bacon,13510,Don Bacon,46.8
72755,1613,University of Nevada Las Vegas Lee Business School,"","","University of Nevada, Las Vegas Lee Business School",609,"University of Nevada, Las Vegas Lee Business School",B/C,Online,Nebraska,10/30/20,11/2/20,,"",,136534,191,lv,,lv,,11/2/20 21:26,"",https://projects.fivethirtyeight.com/polls/20201102_NE_UNLV.pdf,538,false,,8069,2020,U.S. House,2,District 2,11/3/20,general,false,false,LIB,Schaeffer,15190,Tyler Schaeffer,5.2
72791,1365,Change Research,"","",Change Research,48,Change Research,B-,Online/Text,Missouri,10/30/20,11/2/20,,"",,136589,597,lv,,lv,,11/2/20 22:16,"",https://docs.google.com/spreadsheets/d/157HttGCHSc-6qx_hAWLg_KCrggbAUCbatOXH3WipShI/edit#gid=0,538,false,,8060,2020,U.S. House,2,District 2,11/3/20,general,false,false,DEM,Schupp,14476,Jill Schupp,46.0
72791,1365,Change Research,"","",Change Research,48,Change Research,B-,Online/Text,Missouri,10/30/20,11/2/20,,"",,136589,597,lv,,lv,,11/2/20 22:16,"",https://docs.google.com/spreadsheets/d/157HttGCHSc-6qx_hAWLg_KCrggbAUCbatOXH3WipShI/edit#gid=0,538,false,,8060,2020,U.S. House,2,District 2,11/3/20,general,false,false,REP,Wagner,14477,Ann Wagner,46.0
72791,1365,Change Research,"","",Change Research,48,Change Research,B-,Online/Text,Missouri,10/30/20,11/2/20,,"",,136589,597,lv,,lv,,11/2/20 22:16,"",https://docs.google.com/spreadsheets/d/157HttGCHSc-6qx_hAWLg_KCrggbAUCbatOXH3WipShI/edit#gid=0,538,false,,8060,2020,U.S. House,2,District 2,11/3/20,general,false,false,LIB,Schulte,15784,Martin Schulte,2.0
72759,1365,Change Research,"","",Change Research,48,Change Research,B-,Online/Text,Nebraska,10/29/20,11/2/20,,"",,136540,547,lv,,lv,,11/2/20 21:32,"",https://docs.google.com/spreadsheets/d/1RQaEpV6kT3qV2b5P2B_AQgnS2CAJdgJaioH_10hO4qU/edit#gid=1652054673,538,false,,8069,2020,U.S. House,2,District 2,11/3/20,general,false,false,DEM,Eastman,13509,Kara Eastman,48.0
72759,1365,Change Research,"","",Change Research,48,Change Research,B-,Online/Text,Nebraska,10/29/20,11/2/20,,"",,136540,547,lv,,lv,,11/2/20 21:32,"",https://docs.google.com/spreadsheets/d/1RQaEpV6kT3qV2b5P2B_AQgnS2CAJdgJaioH_10hO4qU/edit#gid=1652054673,538,false,,8069,2020,U.S. House,2,District 2,11/3/20,general,false,false,REP,Bacon,13510,Don Bacon,47.0
